Date,Series,CDX_HY_Index,T1,T2,T3,T4,T5,T5_ImpliedSpread,Maturity
3-Sep-08,10,0.07044700,0.90940000,0.72310000,0.12370000,0.06360000,0.01820000,0.02040000,5
4-Sep-08,10,0.07123000,0.91130000,0.72750000,0.12550000,0.06460000,0.01850000,0.02080000,5
5-Sep-08,10,0.07040100,0.91130000,0.72750000,0.12380000,0.06350000,0.01790000,0.02030000,5
6-Sep-08,10,0.07129700,0.91380000,0.73000000,0.12540000,0.06450000,0.01820000,0.02050000,5
9-Sep-08,10,0.06737400,0.90630000,0.71060000,0.11670000,0.05940000,0.01630000,0.01860000,5
10-Sep-08,10,0.06733000,0.90750000,0.71000000,0.11680000,0.05930000,0.01630000,0.01870000,5
11-Sep-08,10,0.06965700,0.91250000,0.72250000,0.12190000,0.06240000,0.01730000,0.01990000,5
12-Sep-08,10,0.07123800,0.91750000,0.73190000,0.12520000,0.06440000,0.01800000,0.02070000,5
13-Sep-08,10,0.06971100,0.91440000,0.72440000,0.12190000,0.06240000,0.01720000,0.01980000,5
16-Sep-08,10,0.07767200,0.93000000,0.76750000,0.13900000,0.07240000,0.02040000,0.02420000,5
17-Sep-08,10,0.08277600,0.93630000,0.79000000,0.14950000,0.07850000,0.02260000,0.02710000,5
18-Sep-08,10,0.08191900,0.92500000,0.78500000,0.14800000,0.07800000,0.02240000,0.02710000,5
19-Sep-08,10,0.08032100,0.92500000,0.77880000,0.14510000,0.07570000,0.02160000,0.02590000,5
20-Sep-08,10,0.07062100,0.91000000,0.73250000,0.12340000,0.06230000,0.01710000,0.02050000,5
23-Sep-08,10,0.07069900,0.91000000,0.73380000,0.12330000,0.06230000,0.01710000,0.02030000,5
24-Sep-08,10,0.07557300,0.92000000,0.75880000,0.13380000,0.06830000,0.01930000,0.02290000,5
25-Sep-08,10,0.07727800,0.92250000,0.76750000,0.13730000,0.07020000,0.02010000,0.02380000,5
26-Sep-08,10,0.07988100,0.92630000,0.78000000,0.14250000,0.07350000,0.02130000,0.02510000,5
